hidden_size,n_layers,learning_rate,normalized_output,Objective,loss,moving_average,weighting_scheme
512,12,0.0001,False,L1Loss,dirichlet,0.0006795513909310102,[0.00076049]
512,12,0.0001,False,L1Loss,uniform,0.00037987949326634407,[0.00049023]
512,12,1e-05,True,MSELoss,dirichlet,2.564868509580265e-06,[2.91460529e-06]
512,12,1e-05,True,MSELoss,uniform,4.270972567610443e-06,[1.07450613e-05]
512,12,1e-05,True,L1Loss,dirichlet,0.0007337940623983741,[0.00102363]
512,12,1e-05,True,L1Loss,uniform,0.000730649393517524,[0.00084494]
512,12,1e-05,False,MSELoss,dirichlet,1.9579147192416713e-06,[2.32760777e-06]
512,12,1e-05,False,MSELoss,uniform,2.4968444449768867e-06,[2.85197458e-06]
512,12,1e-05,False,L1Loss,dirichlet,0.0006838684203103185,[0.00076136]
512,12,1e-05,False,L1Loss,uniform,0.0006669869762845337,[0.00073053]
512,9,0.001,True,MSELoss,dirichlet,0.007116691675037146,[5.e+19]
512,9,0.001,True,MSELoss,uniform,0.0029796455055475235,[2.5e+19]
512,9,0.001,True,L1Loss,dirichlet,0.029407167807221413,[2.5e+19]
512,9,0.001,True,L1Loss,uniform,0.04692786931991577,[5.e+19]
512,9,0.001,False,MSELoss,dirichlet,7.6054689088778105e-06,[1.5625e+18]
512,9,0.001,False,MSELoss,uniform,7.198306775535457e-06,[1.5625e+18]
512,9,0.001,False,L1Loss,dirichlet,0.00043401430593803525,[0.00054788]
512,9,0.001,False,L1Loss,uniform,0.0006853035883978009,[2.32830644e+10]
512,9,0.0001,True,MSELoss,dirichlet,0.0006172722787596285,[173.4732216]
512,9,0.0001,True,MSELoss,uniform,0.0001799266756279394,[355271.36844605]
512,9,0.0001,True,L1Loss,dirichlet,0.000438490736996755,[0.00049419]
512,9,0.0001,True,L1Loss,uniform,0.0003952934639528394,[0.00045467]
512,9,0.0001,False,MSELoss,dirichlet,3.9334764778686804e-07,[1.14551308e-06]
512,9,0.0001,False,MSELoss,uniform,6.500999347736069e-07,[1.99005863e-06]
512,9,0.0001,False,L1Loss,dirichlet,0.0003541536279954016,[0.00040023]
512,9,0.0001,False,L1Loss,uniform,0.00035448934067972004,[0.0851197]
512,9,1e-05,True,MSELoss,dirichlet,7.816584002284799e-06,[3.60043271e-05]
512,9,1e-05,True,MSELoss,uniform,1.9577184502850287e-05,[8.72893981e-05]
512,9,1e-05,True,L1Loss,dirichlet,0.0008992241928353906,[0.0009611]
512,9,1e-05,True,L1Loss,uniform,0.0007212095661088824,[0.00079404]
